Sample	C1	C13	C14	C2	C3	C4	C5	C6	F25	F26	F27	F28	F29	F30	F31	F32
MAG50	29629	254049	186946	152818	61021	70467	47678	51590	188701	41686	77596	110762	127130	51212	94640	98014
MAG51	18630	78685	36303	73723	83940	190081	23751	31396	14892	15227	4890	58385	141981	8376	42277	7020
MAG52	198736	15112	6741	19461	38088	201421	44379	76613	23969	21010	450502	726940	85274	20619	70921	92710
MAG53	135817	108254	81214	87489	48873	38649	147188	164746	608017	119759	273789	198676	372694	540024	582047	371031
MAG54	61770	99882	89835	80537	55171	45544	42100	69629	228558	44177	128157	63314	183561	198946	205651	126193
MAG55	11289	32069	39096	18884	17712	15926	14358	9081	129957	22149	102898	10184	60253	100391	48899	73747
MAG56	191710	59848	28018	176251	129632	209609	129801	428166	16016	9183	19411	40147	80102	23717	23546	17343
MAG57	29570	29085	13596	54724	3904	10630	13403	6751	6277	6025	9220	18356	217158	3973	11894	7867
MAG58	8108	22617	3492	98975	1757	327	10152	7071	736	36	5925	434	249	228	59	137
MAG59	98001	636884	389683	521154	678736	458606	109422	194497	36218	83801	320895	24129	70299	359430	11981	113182
MAG60	50299	46477	15815	67664	76710	71385	59502	207312	108950	17605	28267	575867	79251	114636	76556	107667
MAG61	26880	113983	155273	82717	28826	42711	43205	39820	200494	31967	276836	65368	119872	135346	86068	150488
MAG62	37834	124091	32631	104162	10630	41773	245800	141379	6418	4588	5694	175897	27214	3981	14271	6694
MAG63	30967	58688	50482	46949	34009	44560	28867	35847	164476	17822	81269	28233	65942	82668	53679	85169
MAG64	157089	180897	149742	121092	164772	128517	110023	138529	396354	122366	294501	65615	583035	355841	673982	138380
MAG65	7619	17130	12026	13395	12688	14433	6049	7951	83200	3640	13839	27338	11806	32336	24568	43131
MAG66	3560	26087	8118	130743	7256	28529	3040	28726	388	580	259	1082	6808	4214	4195	640
MAG67	17679	19440	20728	13904	13466	10726	10045	18065	128851	16656	51867	26030	38851	77710	41727	59423
MAG68	4312	14994	14400	9585	58348	25369	5422	5352	192918	38501	117989	51864	153801	124441	116489	98200
MAG69	60867	161443	139391	90133	59935	61400	43045	58900	140000	26302	59173	40580	125115	101864	170696	65110
